grantor|grantee|table_catalog|table_schema|table_name|column_name|privilege_type|is_grantable
postgres|postgres|demo|bookings|airports_data|city|SELECT|YES
postgres|postgres|demo|bookings|airports_data|airport_name|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|seat_no|SELECT|YES
postgres|postgres|demo|bookings|tickets|passenger_name|UPDATE|YES
postgres|postgres|demo|bookings|routes|arrival_airport_name|INSERT|YES
postgres|postgres|demo|bookings|boarding_passes|flight_id|REFERENCES|YES
postgres|postgres|demo|bookings|boarding_passes|ticket_no|INSERT|YES
postgres|postgres|demo|bookings|bookings|book_date|SELECT|YES
postgres|postgres|demo|bookings|tickets|passenger_id|UPDATE|YES
postgres|postgres|demo|bookings|aircrafts_data|aircraft_code|REFERENCES|YES
postgres|postgres|demo|bookings|tickets|book_ref|REFERENCES|YES
postgres|postgres|demo|bookings|airports_data|timezone|SELECT|YES
postgres|postgres|demo|bookings|routes|departure_city|REFERENCES|YES
postgres|postgres|demo|bookings|routes|duration|REFERENCES|YES
postgres|postgres|demo|bookings|flights_v|scheduled_arrival|INSERT|YES
postgres|postgres|demo|bookings|flights_v|actual_arrival_local|UPDATE|YES
postgres|postgres|demo|bookings|seats|fare_conditions|SELECT|YES
